2454001.8325,3.7232,.0145,,U,HPO,,LAM AUR,,,C-8 W/PMT,No,1.579,G,5.46,,,EPS AUR
2454001.8325,3.6258,.0096,,B,HPO,,LAM AUR,,,C-8 W/PMT,No,1.579,G,5.34,,,EPS AUR
2454001.8325,3.0544,.0105,,V,HPO,,LAM AUR,,,C-8 W/PMT,No,1.579,G,4.71,,,EPS AUR
2454003.8554,3.0484,.0029,,V,HPO,,LAM AUR,,,C-8 W/PMT,No,1.377,G,4.71,,,EPS AUR
2454003.8554,3.7284,.0043,,U,HPO,,LAM AUR,,,C-8 W/PMT,No,1.377,G,5.46,,,EPS AUR
2454003.8554,3.6207,.0097,,B,HPO,,LAM AUR,,,C-8 W/PMT,No,1.377,G,5.34,,,EPS AUR
2454004.43403,3.0,,,Vis.,RJG,L,29,38,SAA2001,,No,,G,,,,EPS AUR
2454004.43611,2.9,,,Vis.,CAI,L,29,38,SAA2001,,No,,G,,,,EPS AUR
2454005.8623,3.0506,.008,,V,HPO,,LAM AUR,,,C-8 W/PMT,No,1.309,G,4.71,,,EPS AUR
2454005.8623,3.6237,.0103,,B,HPO,,LAM AUR,,,C-8 W/PMT,No,1.309,G,5.34,,,EPS AUR
2454005.8623,3.7202,.0033,,U,HPO,,LAM AUR,,,C-8 W/PMT,No,1.309,G,5.46,,,EPS AUR
2454008.7929,3.7055,.0103,,U,HPO,,LAM AUR,,,C-8 W/PMT,No,1.782,G,5.46,,,EPS AUR
2454008.7929,3.0535,.0042,,V,HPO,,LAM AUR,,,C-8 W/PMT,No,1.782,G,4.71,,,EPS AUR
2454008.7929,3.6181,.0061,,B,HPO,,LAM AUR,,,C-8 W/PMT,No,1.782,G,5.34,,,EPS AUR
2454012.8477,3.0452,.0071,,V,HPO,,LAM AUR,,,C-8 W/PMT,No,1.287,G,4.71,,,EPS AUR
2454012.8477,3.6132,.0035,,B,HPO,,LAM AUR,,,C-8 W/PMT,No,1.287,G,5.34,,,EPS AUR
2454012.8477,3.7221,.0098,,U,HPO,,LAM AUR,,,C-8 W/PMT,No,1.287,G,5.46,,,EPS AUR
2454016.8088,3.7089,.0119,,U,HPO,,LAM AUR,,,C-8 W/PMT,No,1.446,G,5.46,,,EPS AUR
2454016.8088,3.6145,.0022,,B,HPO,,LAM AUR,,,C-8 W/PMT,No,1.446,G,5.34,,,EPS AUR
2454016.8088,3.0411,.0036,,V,HPO,,LAM AUR,,,C-8 W/PMT,No,1.446,G,4.71,,,EPS AUR
2454018.7825,3.6951,.0042,,U,HPO,,LAM AUR,,,C-8 W/PMT,No,1.61,G,5.46,,,EPS AUR
2454018.7825,3.0523,.002,,V,HPO,,LAM AUR,,,C-8 W/PMT,No,1.61,G,4.71,,,EPS AUR
2454018.7825,3.6193,.0143,,B,HPO,,LAM AUR,,,C-8 W/PMT,No,1.61,G,5.34,,,EPS AUR
2454020.7950,3.7067,.0089,,U,HPO,,LAM AUR,,,C-8 W/PMT,No,1.467,G,5.46,,,EPS AUR
2454020.7950,3.0445,.0028,,V,HPO,,LAM AUR,,,C-8 W/PMT,No,1.467,G,4.71,,,EPS AUR
2454020.7950,3.599,.0057,,B,HPO,,LAM AUR,,,C-8 W/PMT,No,1.467,G,5.34,,,EPS AUR
2454025.7894,3.0582,.0023,,V,HPO,,LAM AUR,,,C-8 W/PMT,No,1.413,G,4.71,,,EPS AUR
